mfName,MFType,age_months,cost_of_uniqueness,crowding_score,flow_vol_ann_36m_std,flows_ann_36m_avg,ret_3m,ret_6m,value_added,vol_ret_36m
STAR Balanced,CP,251,1.49318937595041,-0.004561125440137143,0.004624808547101587,0.003503561679608458,0.01002725609717348,0.2038994705147248,36.90704790018473,0.04130880077277626
Sucorinvest Anak Pintar,CP,106,3.159341100524035,0.05043491520988534,0.02466897448151215,-0.01066415603895017,0.1991793881304467,0.2624364706880671,19.58785709074563,0.03214449663839386
Syailendra Balanced Opportunity Fund Kelas A,CP,213,5.204533510710612,0.03929910534530996,0.01189356883267779,-0.006500733886538332,0.1996394224101548,0.2698569912399922,17.55769689837533,0.03463669593432413
Sucorinvest Citra Dana Berimbang,CP,100,2.993459474858842,-0.002184938595658375,0.02463978648717884,-0.01185684735624582,0.1859741719267014,0.2916223734272114,9.34869304638535,0.03521159444648158
Jarvis Balanced Fund,CP,78,3.126262430727066,0.0403876621124546,0.02051424816538511,-0.01349903025783387,0.2593579701014517,0.3389755189481822,2.899842563268515,0.03885398335848499
Mandiri Investa Syariah Berimbang,CP,256,2.468849320635019,-0.01261748908879068,0.00491292978499838,0.002909353590413402,0.07714137856163084,0.160742115164684,10.53434414224779,0.01403347665835644
HPAM Flexi Indonesia Sehat Kelas A,CP,174,5.501274235189076,0.09111965951136551,0.01640712551656529,-0.005776341122213614,0.1289633664289989,0.2278792822406486,19.30305516531733,0.03929778651317299
Schroder Syariah Balanced Fund,CP,201,1.510288468537864,0.006812253918501226,0.01198655776161874,-0.006791664034211808,0.101890395581915,0.1524841128126522,2.035885653885763,0.01788381443073197
Guru,CP,231,2.199378574560565,0.0906522309831997,0.06760625750824789,-0.1389272228292529,0.1184345626559999,0.3173926190187704,12.20748574606598,0.02180885996598339
Trim Syariah Berimbang,CP,229,3.031380866053711,0.01035200373701747,0.01560237223227747,0.009512062910536622,0.05100126416979744,0.1462915653273129,8.112650293790896,0.04293169764371576
Demina Balance Fund,CP,156,3.45184629377322,-0.01395013048919492,0.005639261855307894,-0.004335955158611204,0.05400138296950785,0.09883040923047703,9.737448085890767,0.03118119274142312
Prospera Balance,CP,248,2.17671605482896,0.0811847068600991,0.01587454230683003,-0.01057505329505781,0.1174565377591497,0.1790090333879057,1.809883837720427,0.02589493331619141
Mega Asset Strategic Total Return,CP,160,4.033725298970316,0.008360831854099018,0.02579545368613231,-0.01169380993850263,0.1117225844672305,0.1662570136012842,0.3590390910230264,0.02357031778726917
Trim Kombinasi 2,CP,232,3.07190599063818,0.02340761431414835,0.02631156997016297,0.01459456604071031,0.02788245047055371,0.1402177130325442,3.202130296485806,0.04009596535919436
Trimegah Balanced Absolute Strategy Kelas A,CP,79,4.096248813598182,0.02349681818122677,0.02635803907737927,0.01496329887910167,0.03845292890329488,0.1458380386708904,4.481286663055537,0.04126449753515207
STAR Balanced III,CP,40,2.956032100048051,-0.0148739588961955,0.02243635137339349,0.01437369701969397,-0.005558642872584452,0.07600337385059319,5.662742852558292,0.02448054019029666
Insight Bright (I-BRIGHT),CP,114,1.991367155288118,-0.004335134627965382,0.003828750686933686,-0.0002142216121701093,0.01099882565917376,0.07313957849742425,-0.03589168571714929,0.01927260656788891
Prospera Value Fund,CP,117,3.291651723009377,0.08860345733744134,0.02373479918870548,-0.0126625149892738,0.09175877720298242,0.1370552840451058,4.95164631246489,0.03109660538157088
Sucorinvest Premium Fund Kelas A,CP,143,3.403748935586061,-0.02827795652247961,0.003238758505651331,-0.002013962805671838,0.02171693951357767,0.04231024403797523,0.7835010801054922,0.002649344937305332
Insight Bhinneka Balanced Fund,CP,94,2.041807869721348,0.02047590781744515,0.01334203109528567,0.0005743215151535486,0.04199611016799998,0.0616453907979182,-1.136262825067684,0.01334730309837909
Insight Growth Balanced Fund,CP,98,2.042715217094754,0.02091099960351112,0.007147858809524461,-0.004313222671949963,0.02710025445185549,0.04607826518782399,0.8188137274007925,0.005599147401295002
Danamas Fleksi,CP,251,4.866775298693436,-0.02737432758449535,0.002235259739843073,-0.001392955252521217,0.01420271331261769,0.04909135458884517,1.01272429684641,0.002473401596413906
Insight Generate Balanced Fund,CP,103,1.566087657743546,0.04219920731561509,0.01244130637494194,-0.007436519413681035,0.04599474541282578,0.05712214671311444,-0.02574140977093469,0.01311700552342597
Pinnacle Balanced Growth Fund,CP,92,3.50820183796211,0.002337903672861291,0.004267885252248678,-0.003017538963552886,0.02946123489480423,0.06916569838189313,-3.54215996026676,0.01190356664584458
Insight Community Development 2,CP,123,2.030685059530061,0.01511069350023275,0.00915555516726283,0.003914209565490896,0.02581623558400015,0.03936163181133989,-1.149829945974143,0.009853338407756925
Insight Community Development,CP,143,0.8876894148271515,0.04245788470339064,0.01503019738247726,-0.01052287048342717,0.04147082597999985,0.05501323176667827,-1.248360730397471,0.01081215769253547
Insight Green (I-GREEN),CP,118,1.805307381995721,0.03063599171382105,0.01660250674935084,0.0006209222887968062,0.04892975232500008,0.0536526717940824,-1.328075605039555,0.01337233699939531
Tram Alpha,CP,152,3.124373646380165,0.03980754559374226,0.01185982636871582,-0.007688077782985935,0.06723247491673456,0.0851694438215409,0.003884101166621207,0.01798516564254226
Sucorinvest Sharia Balanced Fund,CP,78,4.013025959274212,0.003245919514701441,0.004062504910787395,-0.002531403234641552,0.02634074339495784,0.04892053300427568,0.7806664961694574,0.004822624794356582
Insight Tunas Bangsa (I-Next G),CP,138,1.646162642474296,0.02804257688955364,0.02394028131823023,-0.02781821245596442,0.05217367758200009,0.06938287846595648,0.01047758458402562,0.009345646639538172
Schroder Dana Terpadu II,CP,237,1.595598897123202,0.05991411581918405,0.02116769331281882,-0.01251247985047087,0.09787312727217623,0.09222155861608794,-5.009127449264413,0.02140778384389993
Mega Dana Kombinasi,CP,295,3.139043238305743,0.04429478275705113,0.01669530611580635,-0.006676621287336582,0.03980388241925259,0.06357608529658965,-1.080228946154997,0.01911666900518938
Sucorinvest Flexi Fund,CP,230,2.981397848885068,-0.006239405828339353,0.01981644616669414,-0.01098378819766565,0.1803963049148627,0.1854612572267229,-24.6418325332765,0.02804599621351914
Panin Dana Bersama,CP,203,0.7444560090368787,-0.00744703635382533,0.008126303240811112,-0.001034330673479441,0.1295109674589072,0.1542903243722518,-21.78286273665137,0.04123582372619441
Prospera Balance Return Optimiser,CP,84,5.575407040457367,0.1032044900546248,0.02284444057043326,-0.01372797598793346,0.1011498357465568,0.1392780198036589,2.744729278800099,0.030036093653541
Schroder Dana Kombinasi,CP,254,1.48572095020759,-0.00961085578716172,0.02148495611615793,-0.01586350421586814,0.05119081684999993,0.06239986652689899,-7.395500162123605,0.009447018902051286
KISI Balanced Fund,CP,37,3.07431943626809,0.02417427265082989,0.01592439964293495,-0.008501036716653657,0.0551816304122219,0.07262776725007569,-1.982891612221208,0.02037812390846055
Insight Tunas Bangsa Balanced Fund 2,CP,85,3.35341744837,0.105390233638161,0.01746842567469556,-0.002826275407608899,0.06029904081499993,0.08244897392264816,0.6298987056899662,0.01221537932540337
Insight Fellowship,CP,124,1.62927879746734,0.01797040353857962,0.0347013294834002,-0.01594751413406331,0.041640553528,0.0471802396856027,-1.695904342395895,0.01232887789536137
BRI Balanced Regular Income Fund Kelas A,CP,77,1.965504243473179,-0.01755058868042165,0.004491864083852087,-0.05541219393175348,0.02602038812000007,0.05396337034815568,0.6704779491117265,0.007047097792821332
Manulife Dana Campuran II,CP,204,2.505209736074969,0.002079560844726507,0.01189268848963937,-0.00675818202188771,0.04183378503801438,0.06232536965110413,-7.352956546383777,0.01980548215944903
Recapital Balance Fund,CP,103,3.146204696728901,0.04647017941359943,0.004296548742525189,-0.002780509619296735,0.01901203157379716,0.04100429657317184,-0.8073304536998829,0.009237617257670201
Panin Dana Berimbang,CP,70,1.47947078840776,-0.0138760506480391,0.01733487832081743,-0.05472608962190879,0.02428903037499985,0.04937058559574026,-0.1112472731573529,0.01143055602808154
Insight Benefit Balanced Fund,CP,74,3.281268989259344,0.08571957684055408,0.01612724461080481,-0.005210509595399392,0.04546371785599979,0.05578304998273009,-0.5824196489999708,0.01076576105582467
Panin Dana Unggulan,CP,248,2.074628513539816,0.03597198874534022,0.00729197074099301,-0.005178574857008858,0.08219126784280717,0.1191483052709255,-24.16409328370104,0.0281232415207586
Schroder Dynamic Balanced Fund,CP,139,2.833539956174016,0.1177114003447396,0.02538316271247696,-0.01526059882340047,0.1291080959893685,0.09999612423471294,-2.32531447849466,0.02821358077148674
MAM Balanced Fund,CP,99,3.244133427175343,0.07525381820929274,0.01917499602593864,-0.01012837155258284,0.05862733173742152,0.06017684968771775,-0.4830616111557388,0.02173697814981913
BNP Paribas Equitra Campuran Harmoni,CP,245,2.532109998176222,0.01268112293674049,0.004143073280344541,-0.002415377055874022,0.01834715870747461,0.02848038600226199,-10.28000922554847,0.004024901910960954
Sequis Balance Ultima,CP,111,2.787323992337155,0.1030823804936419,0.02520933898616019,-0.01541642290015639,0.08776640419096271,0.08179302332221727,-1.239159182583666,0.02358558338334119
BNI-AM UGM Progressive Balanced,CP,115,3.034098131870504,0.01453418114835891,0.01557754724534612,0.007193408002845075,0.003179913632000098,0.02034841948272814,-3.669197972632768,0.01523906295290297
Purwanto Campuran Dinamis,CP,47,3.078438402764869,0.02547993251851989,0.0295690446109208,-0.0148343277803621,0.08555381929329187,0.0750515899091273,-4.738903868354955,0.03307302596501475
SAM Cipta Sejahtera Campuran,CP,89,3.025763518857413,0.00851471659858651,0.07729101722530284,-0.07158653049132394,0.08421885800000006,0.1305101364990753,0.7556923080898865,0.03594895179168142
HPAM PREMIUM 2,CP,134,3.107427653072996,0.03457124833357201,0.03640315621595945,-0.0301098203875885,0.02736351661999992,0.02633100296089186,0.8519086916363618,0.01475250072963149
Panin Dana Berimbang Dua,CP,69,2.659498229781435,0.05997305356151449,0.03801427531093791,-0.04329205876072821,0.06994297742399969,0.0782120982904535,-3.37314389179591,0.02397502718604149
Panin Dana Bersama Plus,CP,169,2.278562586778218,0.1222536472750977,0.0376828379486687,-0.004956739719505289,0.06305573192000025,0.03531971038302739,-6.160624264373001,0.02966760565662193
Simas Satu,CP,303,4.921374877300044,-0.01597625148667615,0.0385413622780541,0.02360341491198429,0.01202510848474558,0.06020079218393537,-27.36889497300145,0.0312513661521825
SAM Dana Berkembang,CP,341,2.62083036250465,0.04610384717505184,0.01325599754253676,0.007768171636257969,0.0528030936160484,0.08500936684410454,-66.64693739538076,0.03481572121285768
